timestamp,left_rpm,right_rpm,battery_voltage,temperature
2026-09-21T10:00:00,120,119,12.6,36.0
2026-09-21T10:00:01,121,120,12.58,36.1
2026-09-21T10:00:02,119,121,12.56,36.2
2026-09-21T10:00:03,122,121,12.54,36.4
2026-09-21T10:00:04,120,118,12.52,36.5
2026-09-21T10:00:05,118,120,12.5,36.6
2026-09-21T10:00:06,121,119,12.48,36.7
2026-09-21T10:00:07,120,122,12.46,36.8
2026-09-21T10:00:08,119,120,12.44,37.0
2026-09-21T10:00:09,122,121,12.42,37.1
2026-09-21T10:00:10,121,119,12.4,37.2
2026-09-21T10:00:11,120,120,12.38,37.3
2026-09-21T10:00:12,118,121,12.36,37.4
2026-09-21T10:00:13,121,118,12.34,37.6
2026-09-21T10:00:14,119,120,12.32,37.7
2026-09-21T10:00:15,145,0,8.8,45.5
2026-09-21T10:00:16,148,0,8.6,46.2
2026-09-21T10:00:17,150,0,8.4,47.0
2026-09-21T10:00:18,152,0,8.2,47.8
2026-09-21T10:00:19,154,0,8.0,48.5
2026-09-21T10:00:20,156,0,7.9,49.2
2026-09-21T10:00:21,158,0,7.8,50.0
2026-09-21T10:00:22,160,0,7.7,50.8
2026-09-21T10:00:23,162,0,7.6,51.5
2026-09-21T10:00:24,164,0,7.5,52.2
2026-09-21T10:00:25,165,0,7.4,53.0
2026-09-21T10:00:26,167,0,7.3,53.8
2026-09-21T10:00:27,169,0,7.2,54.5
2026-09-21T10:00:28,170,0,7.1,55.2
2026-09-21T10:00:29,172,0,7.0,56.0
