timestamp,left_rpm,right_rpm,battery_voltage,temperature
2026-09-21T10:00:00,118,120,12.6,35.8
2026-09-21T10:00:01,121,119,12.59,35.9
2026-09-21T10:00:02,119,121,12.58,35.9
2026-09-21T10:00:03,120,118,12.57,36.0
2026-09-21T10:00:04,122,121,12.56,36.0
2026-09-21T10:00:05,117,119,12.55,36.1
2026-09-21T10:00:06,120,122,12.54,36.2
2026-09-21T10:00:07,123,120,12.53,36.2
2026-09-21T10:00:08,119,118,12.52,36.3
2026-09-21T10:00:09,121,121,12.51,36.3
2026-09-21T10:00:10,118,120,12.5,36.4
2026-09-21T10:00:11,121,119,12.49,36.5
2026-09-21T10:00:12,119,121,12.48,36.5
2026-09-21T10:00:13,120,118,12.47,36.6
2026-09-21T10:00:14,122,121,12.46,36.6
2026-09-21T10:00:15,117,119,12.45,36.7
2026-09-21T10:00:16,120,122,12.44,36.8
2026-09-21T10:00:17,123,120,12.43,36.8
2026-09-21T10:00:18,119,118,12.42,36.9
2026-09-21T10:00:19,121,121,12.41,36.9
2026-09-21T10:00:20,118,120,12.4,37.0
2026-09-21T10:00:21,121,119,12.39,37.1
2026-09-21T10:00:22,119,121,12.38,37.1
2026-09-21T10:00:23,120,118,12.37,37.2
2026-09-21T10:00:24,122,121,12.36,37.2
2026-09-21T10:00:25,117,119,12.35,37.3
2026-09-21T10:00:26,120,122,12.34,37.4
2026-09-21T10:00:27,123,120,12.33,37.4
2026-09-21T10:00:28,119,118,12.32,37.5
2026-09-21T10:00:29,121,121,12.31,37.5
