timestamp,left_rpm,right_rpm,battery_voltage,temperature
2026-09-21T10:00:00,120,119,12.6,36.0
2026-09-21T10:00:01,121,120,12.58,36.1
2026-09-21T10:00:02,119,121,12.56,36.3
2026-09-21T10:00:03,122,121,12.54,36.5
2026-09-21T10:00:04,118,119,12.52,36.6
2026-09-21T10:00:05,120,122,12.5,36.8
2026-09-21T10:00:06,121,120,12.48,36.9
2026-09-21T10:00:07,119,121,12.46,37.0
2026-09-21T10:00:08,122,118,12.44,37.2
2026-09-21T10:00:09,120,119,12.42,37.4
2026-09-21T10:00:10,124,116,12.4,37.5
2026-09-21T10:00:11,126,115,12.36,37.9
2026-09-21T10:00:12,128,114,12.32,38.2
2026-09-21T10:00:13,130,113,12.28,38.5
2026-09-21T10:00:14,132,112,12.24,38.9
2026-09-21T10:00:15,134,111,12.2,39.2
2026-09-21T10:00:16,135,110,12.16,39.6
2026-09-21T10:00:17,137,109,12.12,40.0
2026-09-21T10:00:18,138,108,12.08,40.3
2026-09-21T10:00:19,140,107,12.04,40.6
2026-09-21T10:00:20,142,106,12.0,41.2
2026-09-21T10:00:21,144,105,11.96,41.4
2026-09-21T10:00:22,145,104,11.92,41.6
2026-09-21T10:00:23,147,103,11.88,41.7
2026-09-21T10:00:24,149,102,11.84,41.9
2026-09-21T10:00:25,150,101,11.8,42.1
2026-09-21T10:00:26,151,100,11.76,42.3
2026-09-21T10:00:27,153,99,11.72,42.5
2026-09-21T10:00:28,154,98,11.68,42.6
2026-09-21T10:00:29,155,97,11.64,42.8
